gene,score,logfc,pval,padj,pct_grp,pct_ref,delta_pct,secreted,membrane
FAM124A,-0.6725339,-1.5929321,0.501243846134479,1.0,0.01049618320610687,0.023252455228191797,-0.012756272022084927,False,False
AC007920.2,-0.67279315,-1.2894357,0.5010788859374413,1.0,0.033396946564885496,0.045205083766608894,-0.011808137201723398,False,False
RNF139-AS1,-0.67308843,-0.9818244,0.5008910496415764,1.0,0.04198473282442748,0.053581744656268054,-0.011597011831840573,False,False
RXRA,-0.67400295,-0.5158412,0.5003094521649347,1.0,0.26049618320610685,0.2378682842287695,0.022627898977337357,False,False
DLG2,-0.6745502,-0.7217284,0.49996158096591226,1.0,0.06965648854961833,0.07972270363951472,-0.0100662150898964,False,False
RBM47,-0.67546475,-1.6736073,0.49938055646093693,1.0,0.015267175572519083,0.027874061236279606,-0.012606885663760522,False,False
TMEM255A,-0.6784603,-3.7461572,0.49747987202213684,1.0,0.0019083969465648854,0.01487579433853264,-0.012967397391967755,False,True
ANKAR,-0.67853236,-1.1330956,0.4974342299529294,1.0,0.04007633587786259,0.05170421721548238,-0.011627881337619786,False,False
CNOT4,-0.67873394,-0.44952616,0.4973064440234565,1.0,0.383587786259542,0.3230791450028885,0.060508641256653506,False,False
NAP1L5,-0.67920923,-0.9291715,0.4970053035250037,1.0,0.08778625954198473,0.09474292316580012,-0.00695666362381539,False,False
FAAH,-0.6805198,-1.6835496,0.4961753894476366,1.0,0.016221374045801526,0.028885037550548817,-0.012663663504747291,False,True
FGFR4,-0.681888,-3.741577,0.4953097849858247,1.0,0.0009541984732824427,0.014009243212016175,-0.013055044738733732,False,True
CXCL6,-0.68248564,-4.4388003,0.4949319057841136,1.0,0.0009541984732824427,0.014009243212016175,-0.013055044738733732,True,False
DKK1,-0.6843507,-1.0947833,0.49375373164648495,1.0,0.0715648854961832,0.08073367995378394,-0.009168794457600743,True,False
LINC02580,-0.6849412,-2.4097557,0.4933810320949805,1.0,0.003816793893129771,0.016897746967071057,-0.013080953073941286,False,False
SHC3,-0.6849988,-0.74124336,0.49334467923071523,1.0,0.07251908396946564,0.08246678220681687,-0.009947698237351227,False,False
SIK1B,-0.6852076,-1.8440365,0.4932129121233644,1.0,0.012404580152671756,0.025274407856730213,-0.012869827704058458,False,False
FBXO2,-0.6861221,-2.8873885,0.4926360851770055,1.0,0.003816793893129771,0.016897746967071057,-0.013080953073941286,False,False
NFAM1,-0.6867414,-23.394522,0.4922456834065697,1.0,0.0,0.01314269208549971,-0.01314269208549971,False,True
TNFRSF21,-0.6878648,-1.215572,0.4915379364653034,1.0,0.02480916030534351,0.03740612362796072,-0.012596963322617206,False,True
CAP2,-0.6885921,-0.85364497,0.4910800072035091,1.0,0.05438931297709924,0.06556903523974582,-0.011179722262646581,False,False
PGGHG,-0.6894994,-0.9617457,0.490509050559888,1.0,0.0648854961832061,0.07481224725592144,-0.009926751072715331,False,False
RNF139,-0.6896218,-0.52092034,0.49043204406016916,1.0,0.3187022900763359,0.2758521086077412,0.042850181468594706,False,True
TEKT3,-0.6899819,-1.3127168,0.4902055920343994,1.0,0.030534351145038167,0.04274985557481225,-0.012215504429774083,False,False
SLC23A2,-0.69048595,-1.0103667,0.4898886537013275,1.0,0.0648854961832061,0.07466782206816869,-0.009782325884962584,False,True
GPD1L,-0.69099,-1.2107043,0.4895718256599053,1.0,0.02767175572519084,0.04015020219526285,-0.01247844647007201,False,False
BEND7,-0.69205576,-0.9862787,0.48890232395512434,1.0,0.04007633587786259,0.052137492778740614,-0.012061156900878021,False,False
ZNF90,-0.69267505,-1.63279,0.4885135159045222,1.0,0.011450381679389313,0.024552281917966493,-0.01310190023857718,False,False
UBR1,-0.69277585,-0.7625152,0.48845023735064563,1.0,0.15076335877862596,0.14890236857307915,0.0018609902055468086,False,True
CRTAC1,-0.6930783,-2.8629234,0.48826042820610716,1.0,0.003816793893129771,0.0170421721548238,-0.01322537826169403,True,False
IL17RD,-0.69365436,-1.0644138,0.48789899704226247,1.0,0.06297709923664122,0.07293471981513576,-0.009957620578494544,False,True
BOC,-0.6938416,-0.3668187,0.48778156300178754,1.0,0.3998091603053435,0.34358752166377815,0.056221638641565375,False,True
ALS2CL,-0.694,-4.0489497,0.4876822076512246,1.0,0.0019083969465648854,0.015164644714038129,-0.013256247767473243,False,False
COLCA1,-0.6949073,-1.2314364,0.4871133829256866,1.0,0.04198473282442748,0.053581744656268054,-0.011597011831840573,False,False
AC124798.1,-0.6966932,-1.2842891,0.4859948389559262,1.0,0.030534351145038167,0.04289428076256499,-0.012359929617526823,False,False
NKRF,-0.69722605,-0.841632,0.485661349199519,1.0,0.08301526717557252,0.09156556903523974,-0.008550301859667223,False,False
LY75,-0.6976869,-1.6670187,0.4853730255241465,1.0,0.02194656488549618,0.03466204506065858,-0.012715480175162396,False,True
PSMG2,-0.6979029,-0.1272398,0.4852379057074867,1.0,0.6698473282442748,0.5306181398035817,0.1392291884406931,False,False
